FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
3;140;353;0;0;
4;165;356;1;0;
5;173;356;1;0;
6;179;356;1;0;
7;192;356;1;0;
8;201;356;1;0;
9;212;356;1;0;
10;223;356;1;0;
11;234;356;1;0;
12;245;356;1;0;
13;256;356;1;0;
14;268;356;1;0;
15;279;356;1;0;
16;290;356;1;0;
17;301;356;1;0;
18;318;356;1;0;
19;325;356;1;0;
20;334;356;1;0;
21;346;356;1;0;
22;359;356;1;0;
23;368;356;1;0;
24;379;356;1;0;
25;390;356;1;0;
26;401;356;1;0;
27;413;356;1;0;
28;424;356;1;0;
29;435;356;1;0;
30;446;356;1;0;
31;456;356;1;0;
32;467;356;1;0;
33;478;356;1;0;
34;490;356;1;0;
35;501;356;1;0;
36;512;356;1;0;
37;523;356;1;0;
38;534;356;1;0;
39;546;356;1;0;
40;563;356;1;0;
41;573;356;1;0;
42;580;356;1;0;
43;590;356;1;0;
44;602;356;1;0;
45;612;356;1;0;
46;624;356;1;0;
47;635;356;1;0;
48;646;356;1;0;
49;657;356;1;0;
50;668;356;1;0;
51;680;356;1;0;
52;691;356;1;0;
53;702;356;1;0;
54;713;356;1;0;
55;724;356;1;0;
56;735;356;1;0;
57;746;356;1;0;
58;760;356;1;0;
59;769;356;1;0;
60;780;356;1;0;
61;791;356;1;0;
62;803;356;1;0;
63;814;356;1;0;
64;825;356;1;0;
65;836;356;1;0;
66;847;356;1;0;
67;859;356;1;0;
68;870;356;1;0;
69;881;356;1;0;
70;892;356;1;0;
71;903;356;1;0;
72;914;356;1;0;
73;925;356;1;0;
74;937;356;1;0;
75;948;356;1;0;
76;960;356;1;0;
77;970;356;1;0;
78;981;356;1;0;
79;992;356;1;0;
80;1003;356;1;0;
81;1014;356;1;0;
82;1025;356;1;0;
83;1037;356;1;0;
84;1048;356;1;0;
85;1059;356;1;0;
86;1070;356;1;0;
87;1081;356;1;0;
88;1092;356;1;0;
89;1104;356;1;0;
90;1116;356;1;0;
91;1126;356;1;0;
92;1140;356;1;0;
93;1148;356;1;0;
94;1161;356;1;0;
95;1173;356;1;0;
96;1182;356;1;0;
97;1193;356;1;0;
98;1206;356;1;0;
99;1215;356;1;0;
100;1226;356;1;0;
101;1240;356;1;0;
102;1249;356;1;0;
103;1260;356;1;0;
104;1272;356;1;359;
105;1282;356;1;359;
106;1293;356;1;359;
107;1308;356;1;359;
108;1316;356;1;359;
109;1326;356;1;359;
110;1341;356;1;359;
111;1349;356;1;359;
112;1362;356;1;359;
113;1374;356;1;358;
114;1383;356;1;358;
115;1394;356;1;358;
116;1407;356;1;358;
117;1416;356;1;358;
118;1427;356;1;358;
119;1440;356;1;358;
120;1454;356;1;358;
121;1467;356;1;358;
122;1478;356;1;357;
123;1487;356;1;357;
124;1495;356;1;357;
125;1511;356;1;357;
126;1519;356;1;357;
127;1528;356;1;357;
128;1543;356;1;357;
129;1551;356;1;357;
130;1563;356;1;357;
131;1574;356;1;356;
132;1583;356;1;356;
133;1594;356;1;356;
134;1608;356;1;356;
135;1617;356;1;356;
136;1628;356;1;356;
137;1643;356;1;356;
138;1650;356;0;355;
139;1662;356;0;355;
140;1675;356;0;355;
141;1684;356;0;355;
142;1696;356;0;355;
143;1709;356;0;355;
144;1717;356;0;354;
145;1728;356;0;354;
146;1742;356;0;354;
147;1751;356;0;354;
148;1762;357;0;354;
149;1779;357;0;353;
150;1787;357;0;353;
151;1801;357;0;353;
152;1812;356;0;353;
153;1818;356;0;353;
154;1829;356;0;353;
155;1842;356;0;352;
156;1853;356;0;352;
157;1863;357;0;352;
158;1876;357;0;352;
159;1885;357;0;351;
160;1896;357;0;351;
161;1909;357;0;351;
162;1919;357;0;351;
163;1930;357;0;350;
164;1943;357;0;350;
165;1952;357;0;350;
166;1963;357;0;350;
167;1978;357;0;349;
168;1985;357;0;349;
169;1997;357;0;349;
170;2012;357;0;348;
171;2019;357;0;348;
172;2030;357;0;348;
173;2045;357;0;347;
174;2052;357;0;347;
175;2064;357;0;347;
176;2077;357;0;347;
177;2086;357;0;346;
178;2097;357;0;346;
179;2111;357;0;346;
180;2119;357;0;345;
181;2130;357;0;345;
182;2144;356;0;345;
183;2153;356;359;345;
184;2165;356;359;344;
185;2179;356;359;344;
186;2187;356;359;344;
187;2197;355;0;343;
188;2210;355;359;343;
189;2220;355;359;343;
190;2231;355;359;342;
191;2244;355;359;342;
192;2253;355;359;341;
193;2265;356;359;341;
194;2278;356;0;340;
195;2287;356;0;339;
196;2298;357;0;339;
197;2311;357;359;338;
