FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
2;66;0;0;0;
3;775;0;0;0;
4;852;359;4;0;
5;870;359;4;0;
6;887;359;4;0;
7;903;359;4;0;
8;920;359;4;0;
9;936;359;4;0;
10;969;359;4;0;
11;986;359;4;0;
12;1027;359;4;0;
13;1053;359;5;0;
14;1070;358;5;0;
15;1090;358;5;0;
16;1124;358;5;0;
17;1140;358;5;0;
18;1166;358;5;0;
19;1186;358;5;0;
20;1205;357;5;0;
21;1222;357;5;0;
22;1240;357;5;0;
23;1273;357;5;0;
24;1290;356;5;0;
25;1307;356;6;0;
26;1323;356;6;0;
27;1343;355;6;0;
28;1360;355;6;0;
29;1376;355;6;0;
30;1393;355;6;0;
31;1426;355;6;0;
32;1443;354;6;0;
33;1460;354;6;0;
34;1476;354;6;0;
35;1511;354;6;0;
36;1544;354;6;0;
37;1577;354;6;0;
38;1593;354;6;0;
39;1611;354;6;0;
40;1643;354;6;0;
41;1660;354;6;0;
42;1677;354;6;0;
43;1694;354;6;0;
44;1710;354;6;0;
45;1774;354;6;0;
46;1791;353;6;0;
47;1808;353;6;0;
48;1827;353;6;0;
49;1843;353;6;0;
50;1860;353;6;0;
51;1877;353;6;0;
52;1907;353;6;0;
53;1927;353;6;0;
54;1944;353;6;0;
55;1960;353;6;0;
56;1994;353;6;0;
57;2010;353;6;0;
58;2044;353;6;0;
59;2077;353;6;0;
60;2094;353;6;0;
61;2111;353;6;0;
62;2128;353;6;0;
63;2144;353;6;0;
64;2160;353;6;0;
65;2177;353;6;0;
66;2194;353;6;0;
67;2211;353;7;0;
68;2251;353;8;0;
69;2267;353;10;0;
70;2289;353;10;0;
71;2305;352;11;0;
72;2330;352;11;0;
73;2361;352;12;0;
74;2378;351;12;0;
75;2411;351;12;0;
76;2430;351;13;0;
77;2446;351;13;0;
78;2469;351;14;0;
79;2487;350;14;0;
80;2525;350;15;0;
81;2569;349;17;0;
82;2627;349;20;0;
83;2651;347;25;0;
84;2667;347;27;0;
85;2684;346;28;0;
86;2700;346;30;0;
87;2717;346;31;0;
88;2741;346;32;0;
89;2789;346;32;0;
90;2805;346;32;0;
91;2828;346;32;0;
92;2846;346;32;0;
93;2864;346;32;0;
94;2880;346;32;0;
95;2897;346;32;0;
96;2928;346;32;0;
97;2953;346;32;0;
98;2974;346;32;0;
99;2992;346;32;0;
100;3010;346;32;0;
101;3028;346;32;0;
102;3048;346;32;0;
103;3087;346;32;0;
104;3103;346;32;0;
105;3121;346;32;0;
106;3144;346;32;0;
107;3160;345;35;0;
108;3193;345;37;0;
109;3210;345;45;0;
110;3252;344;49;0;
111;3274;343;60;0;
112;3290;342;67;0;
113;3307;342;70;0;
114;3323;341;73;0;
115;3344;341;76;0;
116;3380;340;78;0;
117;3424;339;80;0;
118;3440;340;80;0;
119;3457;340;80;0;
120;3476;340;80;0;
121;3493;340;80;0;
122;4262;340;80;0;
123;4312;342;119;0;
124;4329;342;119;0;
125;4354;342;119;0;
126;4371;342;119;0;
127;4388;342;119;0;
128;4404;342;119;0;
129;4421;342;119;0;
130;4458;342;119;0;
131;4475;342;119;0;
132;4491;342;119;0;
133;5070;342;119;0;
134;5105;281;56;0;
135;5121;281;49;0;
136;5138;280;46;0;
137;5154;280;40;0;
138;5171;281;37;0;
139;5187;281;33;0;
140;5204;281;31;0;
141;5224;280;30;0;
142;5258;281;28;0;
143;5275;281;18;0;
144;5292;281;16;0;
145;5975;281;13;0;
146;6015;281;47;0;
147;6032;280;47;0;
148;6050;280;45;0;
149;6067;281;44;0;
150;6084;281;43;0;
151;6100;281;43;0;
152;6120;281;43;0;
153;6147;280;43;0;
154;6188;281;43;0;
155;6206;281;43;0;
156;6902;281;43;0;
157;6927;281;43;0;
158;6944;281;43;0;
159;6961;281;43;0;
160;6978;281;43;0;
161;6994;281;43;0;
162;7011;281;43;0;
163;7027;281;43;0;
164;7043;281;43;0;
165;7061;281;43;0;
166;7078;281;43;0;
167;7095;281;43;0;
168;7111;281;43;0;
169;7128;281;43;0;
170;7144;281;43;0;
171;7161;281;43;0;
172;7712;281;43;0;
173;7729;281;43;0;
174;7746;281;43;0;
175;7762;281;43;0;
176;7779;281;43;0;
177;7795;281;43;0;
178;7812;281;43;0;
179;7828;281;43;0;
180;7845;281;43;0;
181;7861;281;43;0;
182;7878;281;43;0;
183;7894;281;43;0;
184;7911;281;43;0;
185;7928;281;43;0;
186;7944;281;43;0;
187;7965;281;43;0;
188;7983;281;43;0;
189;8652;281;43;0;
190;8670;281;43;0;
191;8687;281;43;0;
192;8703;281;43;0;
193;8720;281;43;0;
194;8737;281;43;0;
195;8755;281;43;0;
196;8773;281;43;0;
197;8790;281;43;0;
198;8805;281;43;0;
199;8823;281;43;0;
200;8842;281;43;0;
201;8866;281;43;0;
202;8887;281;43;0;
203;8903;281;43;0;
204;8920;281;43;0;
205;9552;281;43;0;
206;9584;281;43;0;
207;9601;281;43;0;
208;9618;281;43;0;
209;9634;281;43;0;
210;9651;281;43;0;
211;9670;281;43;0;
212;9689;281;43;0;
213;9706;281;43;0;
214;9723;281;43;0;
215;9741;281;43;0;
216;9760;281;43;0;
217;9781;281;43;0;
218;9798;281;43;0;
219;9814;281;43;0;
220;9831;281;43;0;
221;9848;281;43;0;
222;10409;281;43;0;
223;10431;281;43;0;
224;10448;281;43;0;
225;10465;281;43;0;
226;10488;281;43;0;
