FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
3;108;359;1;1;
4;128;358;1;1;
5;136;358;1;1;
6;144;358;1;1;
7;154;358;1;1;
8;164;358;1;1;
9;175;358;1;1;
10;186;358;1;1;
11;197;358;1;1;
12;208;358;1;1;
13;220;358;1;1;
14;231;359;1;1;
15;242;359;1;1;
16;254;359;1;1;
17;264;359;1;1;
18;276;359;1;1;
19;287;359;1;1;
20;298;359;1;1;
21;309;359;1;1;
22;324;359;1;1;
23;332;359;1;1;
24;343;359;1;1;
25;354;359;1;1;
26;365;359;1;1;
27;376;359;1;1;
28;387;359;1;1;
29;398;359;1;1;
30;409;359;1;1;
31;421;359;1;1;
32;432;359;1;1;
33;448;359;1;1;
34;458;359;1;1;
35;470;359;1;1;
36;484;359;1;1;
37;495;359;1;1;
38;506;359;1;1;
39;517;359;1;1;
40;530;359;1;1;
41;539;358;1;1;
42;551;359;1;1;
43;562;358;1;1;
44;575;358;1;1;
45;587;358;1;1;
46;596;358;1;1;
47;606;358;1;1;
48;617;358;1;1;
49;629;358;1;1;
50;640;358;1;1;
51;651;358;1;1;
52;662;358;1;1;
53;673;358;1;1;
54;684;358;1;1;
55;696;358;1;1;
56;707;358;1;1;
57;718;358;1;1;
58;731;358;1;1;
59;740;358;1;1;
60;752;358;1;1;
61;763;358;1;1;
62;774;358;1;1;
63;785;358;1;1;
64;796;358;1;1;
65;807;358;1;1;
66;818;359;1;1;
67;830;359;1;1;
68;841;359;1;1;
69;852;359;1;1;
70;863;359;1;1;
71;874;359;1;1;
72;886;359;1;1;
73;897;359;1;1;
74;908;359;1;1;
75;919;359;1;1;
76;931;359;1;1;
77;942;359;1;1;
78;952;359;1;1;
79;964;359;0;1;
80;975;359;0;1;
81;986;359;0;1;
82;997;359;0;1;
83;1008;359;0;1;
84;1020;359;0;1;
85;1031;359;0;1;
86;1042;359;0;1;
87;1053;359;0;1;
88;1064;359;0;1;
89;1076;359;0;1;
90;1087;359;0;1;
91;1098;359;0;1;
92;1109;359;0;1;
93;1120;359;0;1;
94;1133;359;0;1;
95;1143;0;0;1;
96;1155;0;0;1;
97;1167;0;0;1;
98;1179;0;0;1;
99;1190;0;0;1;
100;1198;0;359;1;
101;1210;0;359;1;
102;1221;0;359;1;
103;1233;0;359;1;
104;1243;0;359;1;
105;1255;0;359;1;
106;1267;0;358;1;
107;1276;0;358;1;
108;1288;1;357;1;
109;1301;1;357;2;
110;1310;1;356;2;
111;1321;1;356;2;
112;1337;1;355;2;
113;1343;1;354;2;
114;1358;1;354;2;
115;1366;1;353;2;
116;1377;1;352;2;
117;1390;1;351;3;
118;1399;1;351;3;
119;1410;1;350;3;
120;1424;1;349;3;
121;1434;1;348;3;
122;1444;1;348;3;
123;1460;1;347;3;
124;1467;1;346;3;
125;1478;1;345;3;
126;1491;1;344;3;
127;1500;1;343;3;
128;1511;1;342;3;
129;1524;1;341;3;
130;1535;1;340;3;
131;1544;1;339;3;
