FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
3;131;3;359;359;
4;150;3;359;358;
5;159;3;359;358;
6;167;3;359;358;
7;181;3;359;358;
8;189;3;359;358;
9;200;3;359;358;
10;211;3;359;358;
11;223;3;359;358;
12;234;3;359;358;
13;245;3;359;358;
14;256;3;359;358;
15;267;3;359;358;
16;278;3;359;358;
17;289;3;359;358;
18;306;3;359;358;
19;314;3;359;358;
20;322;3;359;358;
21;334;3;359;358;
22;347;3;359;358;
23;356;3;359;358;
24;367;3;359;358;
25;379;3;359;358;
26;390;3;359;358;
27;401;3;359;358;
28;412;3;359;358;
29;423;3;359;358;
30;434;3;359;358;
31;445;3;359;358;
32;456;3;359;358;
33;468;3;359;358;
34;479;3;359;358;
35;490;3;359;358;
36;501;3;359;358;
37;512;3;359;358;
38;523;3;359;358;
39;534;3;359;358;
40;550;3;359;358;
41;558;3;359;358;
42;568;3;359;358;
43;579;3;359;358;
44;590;3;359;358;
45;601;3;359;358;
46;613;3;359;358;
47;624;3;359;358;
48;635;3;359;358;
49;647;3;359;358;
50;657;3;359;358;
51;668;3;359;358;
52;680;3;359;358;
53;691;3;359;358;
54;702;3;359;358;
55;713;3;359;358;
56;724;3;359;358;
57;735;3;359;358;
58;748;3;359;358;
59;758;3;359;358;
60;769;3;359;358;
61;780;3;359;358;
62;792;3;359;358;
63;803;3;359;358;
64;814;3;359;358;
65;825;3;359;358;
66;836;3;359;358;
67;847;3;359;358;
68;858;3;359;358;
69;870;3;359;358;
70;881;3;359;358;
71;892;3;359;358;
72;903;3;359;358;
73;914;3;359;358;
74;925;3;359;358;
75;937;3;359;358;
76;950;3;359;358;
77;960;3;359;358;
78;970;3;359;358;
79;982;3;359;358;
80;993;3;359;358;
81;1003;3;359;358;
82;1015;3;359;358;
83;1026;3;359;358;
84;1037;3;359;358;
85;1049;3;359;358;
86;1059;3;359;358;
87;1071;3;359;358;
88;1082;3;359;358;
89;1095;3;359;358;
90;1105;3;359;358;
91;1119;3;359;358;
92;1127;3;359;358;
93;1138;3;359;358;
94;1156;3;359;358;
95;1167;3;359;358;
96;1173;3;359;358;
97;1186;3;359;358;
98;1196;3;359;358;
99;1205;3;359;358;
100;1219;3;359;358;
101;1227;3;359;358;
102;1238;3;359;358;
103;1252;3;359;358;
104;1261;3;359;358;
105;1272;3;359;358;
106;1285;3;359;358;
107;1294;3;359;358;
108;1305;3;359;358;
109;1318;3;359;358;
110;1328;3;359;358;
111;1339;3;359;358;
112;1357;3;359;358;
113;1365;3;359;358;
114;1373;3;359;358;
115;1386;3;359;358;
116;1395;3;359;358;
117;1406;3;359;358;
118;1419;3;359;358;
119;1429;3;359;358;
120;1443;3;359;358;
121;1452;3;359;358;
122;1466;3;359;358;
123;1474;3;359;358;
124;1488;3;359;358;
125;1497;3;359;358;
126;1507;3;359;358;
127;1522;3;359;358;
128;1532;3;359;358;
129;1540;3;359;358;
130;1556;3;359;358;
131;1563;3;359;358;
132;1573;3;359;358;
133;1588;3;359;358;
134;1595;3;359;358;
135;1607;3;359;358;
136;1620;3;359;358;
137;1629;3;359;358;
138;1641;3;359;358;
139;1653;3;359;358;
140;1663;3;359;358;
141;1674;3;359;358;
142;1690;3;359;358;
143;1700;3;359;358;
144;1709;3;359;358;
145;1721;3;359;358;
146;1735;3;359;358;
147;1745;3;359;358;
148;1759;3;359;358;
149;1765;3;359;358;
150;1786;3;359;358;
151;1793;3;359;358;
152;1802;3;359;358;
153;1808;3;359;358;
154;1821;3;359;358;
155;1830;3;359;358;
156;1842;3;359;358;
157;1856;3;359;358;
158;1865;3;359;358;
159;1875;3;359;358;
160;1888;3;359;358;
161;1897;3;359;358;
162;1908;3;359;358;
163;1922;3;359;358;
164;1931;3;359;358;
165;1942;3;359;358;
166;1955;3;359;358;
167;1966;3;359;358;
168;1975;3;359;358;
169;1991;3;359;358;
170;2001;3;359;358;
171;2012;3;359;358;
172;2022;3;359;358;
173;2033;3;359;358;
174;2043;3;359;358;
175;2056;3;359;358;
176;2065;3;359;358;
177;2077;3;359;358;
178;2089;3;359;358;
179;2099;3;359;358;
180;2109;3;359;358;
181;2124;3;359;358;
182;2132;3;359;358;
183;2143;3;359;358;
