FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
3;122;3;354;0;
4;139;3;354;0;
5;148;3;355;0;
6;155;3;354;0;
7;162;3;354;0;
8;169;3;354;0;
9;180;3;354;0;
10;191;3;354;0;
11;202;3;354;0;
12;214;3;354;0;
13;224;3;354;0;
14;236;3;354;0;
15;247;3;354;0;
16;262;3;355;0;
17;269;3;355;0;
18;281;3;355;0;
19;292;3;355;0;
20;303;3;354;0;
21;314;3;354;0;
22;325;3;354;0;
23;339;3;355;0;
24;348;3;355;0;
25;359;3;355;0;
26;370;3;354;0;
27;381;3;354;0;
28;392;3;354;0;
29;403;3;354;0;
30;415;3;354;0;
31;425;3;355;0;
32;437;3;355;0;
33;448;3;355;0;
34;459;3;355;0;
35;470;3;355;0;
36;481;3;355;0;
37;492;3;355;0;
38;504;3;355;0;
39;515;3;355;0;
40;526;3;355;0;
41;539;3;355;0;
42;548;3;355;0;
43;560;3;355;0;
44;571;3;355;0;
45;582;3;355;0;
46;593;3;355;0;
47;604;3;355;0;
48;616;3;355;0;
49;632;3;355;0;
50;639;3;355;0;
51;649;3;355;0;
52;660;3;355;0;
53;671;3;355;0;
54;682;3;355;0;
55;693;3;355;0;
56;705;3;355;0;
57;716;3;355;0;
58;727;3;355;0;
59;740;3;355;0;
60;749;3;355;0;
61;761;3;355;0;
62;772;3;355;0;
63;782;3;355;0;
64;793;3;355;0;
65;805;3;355;0;
66;816;3;355;0;
67;827;3;355;0;
68;838;3;355;0;
69;850;3;355;0;
70;860;3;355;0;
71;872;3;355;0;
72;883;3;355;0;
73;894;3;355;0;
74;905;3;355;0;
75;916;3;355;0;
76;928;3;355;0;
77;940;3;355;0;
78;950;3;355;0;
79;961;3;355;0;
80;972;3;355;0;
81;983;3;355;0;
82;995;3;355;0;
83;1006;3;355;0;
84;1017;3;355;0;
85;1029;3;355;0;
86;1040;3;355;0;
87;1051;3;355;0;
88;1062;3;355;0;
89;1073;3;355;0;
90;1084;3;355;0;
91;1096;3;355;0;
92;1106;3;355;0;
93;1118;3;355;0;
94;1129;3;355;0;
95;1142;3;355;0;
96;1162;3;355;0;
97;1170;3;355;0;
98;1180;3;355;0;
99;1191;3;355;0;
100;1199;3;355;0;
101;1211;3;355;0;
102;1220;3;355;0;
103;1229;3;355;0;
104;1242;3;355;0;
105;1252;3;355;0;
106;1263;3;355;0;
107;1276;3;355;0;
108;1285;3;355;0;
109;1296;3;355;0;
110;1311;2;355;0;
111;1319;2;355;0;
112;1330;2;355;0;
113;1345;2;355;0;
114;1353;2;355;0;
115;1363;2;355;0;
116;1377;2;355;0;
117;1386;2;355;0;
118;1397;2;355;0;
119;1410;1;355;0;
120;1419;1;355;0;
121;1430;1;355;0;
122;1443;1;355;0;
123;1452;1;355;0;
124;1464;1;355;0;
125;1480;1;355;0;
126;1488;1;355;0;
127;1498;1;355;0;
128;1514;1;355;0;
129;1523;0;355;0;
130;1531;0;355;0;
131;1544;0;355;0;
132;1552;0;355;0;
133;1563;0;355;1;
134;1575;0;355;1;
135;1585;0;355;1;
136;1596;0;355;1;
137;1609;359;355;1;
138;1619;359;355;1;
139;1629;359;355;1;
140;1642;359;355;1;
141;1653;359;355;1;
142;1663;359;355;1;
143;1678;359;355;1;
144;1685;358;355;1;
145;1696;358;355;1;
146;1711;358;355;1;
147;1719;358;355;1;
148;1730;358;355;1;
149;1748;357;355;1;
150;1762;357;355;1;
151;1768;357;355;0;
152;1778;356;355;0;
153;1786;356;355;0;
154;1797;356;355;0;
155;1810;356;355;0;
156;1819;356;355;0;
157;1831;355;355;0;
158;1844;355;355;0;
159;1853;355;355;0;
160;1865;354;355;1;
161;1877;354;355;1;
162;1887;353;355;1;
163;1897;353;355;1;
164;1911;352;355;1;
165;1920;352;355;1;
166;1931;352;355;1;
167;1944;351;355;1;
168;1954;351;355;1;
169;1967;351;355;1;
170;1978;350;355;1;
171;1988;350;355;1;
172;1998;349;355;1;
173;2011;349;355;1;
174;2021;348;355;1;
175;2032;348;355;1;
176;2044;347;355;1;
177;2054;347;355;1;
178;2065;346;355;1;
179;2080;346;355;1;
180;2088;346;355;1;
181;2098;345;355;1;
182;2113;344;355;1;
183;2121;344;355;1;
184;2133;343;355;1;
185;2145;343;355;1;
186;2156;342;355;1;
187;2167;341;355;1;
188;2179;341;355;1;
189;2188;341;355;1;
190;2199;340;355;1;
191;2213;340;355;1;
192;2221;339;355;1;
193;2233;339;355;1;
194;2246;338;355;1;
195;2256;337;355;1;
196;2266;337;355;1;
197;2279;336;355;1;
198;2289;335;355;1;
199;2300;335;355;2;
200;2313;334;355;2;
201;2322;334;355;2;
202;2333;333;355;2;
203;2346;333;355;2;
204;2356;332;355;2;
205;2368;332;356;2;
206;2380;331;356;2;
207;2389;330;356;2;
208;2400;329;356;2;
209;2413;329;356;2;
210;2423;328;355;3;
211;2434;327;355;3;
212;2447;326;355;3;
213;2456;326;355;3;
214;2467;325;356;3;
215;2481;324;356;3;
